"de_para";"valor"
"Legado Parri-ct";"alimentacao"
"Chiquinho Sorvetes";"sorvete"
"Ame*americanascom 01/04";"americanas"
"Dl*google Google";"google"
"Rs Avila";"mercado"
"Pag*padariacharmosa";"padaria"
"Conectcar   *conectcar";"conectar"
"Amazon Prime Canais";"amazon"
"Scribd Inc";"livro"
"IOF - transação internacional";"banco"
"Rs Avila";"mercado"
"Pag*laysrose-ct Silva";"comercio"
"Padaria Delicias Do P";"padaria"
"Drogaria Promofarm01/02";"farmacia"
"Atacadao 060 As";"mercado"
"Atacadao 060 As";"mercado"
"Lombardi Alb Fast Food";"comercio"
"Filial Popey-ct Hoppin";"comercio"
"Burger King Shopping M";"alimentacao"
"Lojas Americ-ct  101";"americanas"
"Shopping Metro Tatuape";"shopping"
"Shopping Metro Tatuape";"shopping"
"Tasy Bijous -ct";"comercio"
"Cea Tam 330 -ct   01/02";"roupa"
"Shopping Met-ct Atuape";"shopping"
"Ejk Empreendimentos Em";"comercio"
"Rs Avila";"mercado"
"Rs Avila";"mercado"
"Produtos Globo";"globo"
"Rs Avila";"mercado"
"Mercpago*espacoceara";"alimentacao"
"Netflix.com";"netflix"
"Atacadao 060 As";"mercado"
"Pag*autopostopacifici";"posto_gasolina"
"Mercado Da V-ct";"comercio"
"Posto Servco-ct Nca";"carro"
"Pag*rotisser-ct Ido";"alimentacao"
"Rs Avila";"mercado"
"Disney Plus";"app"
"Dm*spotify";"spotify"
"Padaria Delicias Do P";"padaria"
"Amazon Prime Aluguel";"amazon"
"Pag*padariacharmosa";"padaria"
"Hip.bergamini Lj 2";"mercado"
"Localiza Rac Mtzal01/02";"localiza"
"Oggi Sorvetes - Unidad";"sorvetes"
"Drogaria Sao Paulo 194";"farmacia"
"Posto Servconfianca";"gasolina"
"Dino Baby Eventos Infa";"roupa"
"Shopping Metro Expansa";"shopping"
"Pag*gapizzar-ct";"alimentacao"
"Alro Comercio De Alim";"comercio"
"Drogaria Sao Paulo 194";"farmacia"
"Frigomundo Comercio De";"frango"
"Dl*google Cloud";"google"
"Sodie Parque Novo Mund";"sodie"
"Pag*gagosbrothers";"comercio"
"Frigomundo Comercio De";"frango"
"Hip.bergamini Lj 2";"mercado"
"Posto Pe De Boi";"Roberto"
"Padaria Deli-ct  Do P";"padaria"
"Hip.bergamini Lj 201/02";"mercado"
"Supermercado Precito";"mercado"
"Drogaria Sao Paulo 194";"farmacia"
"Pag*padariacharmosa";"padaria"
"Amazonprimebr";"amazon"
"Fernando    -ct";"pessoa"
"Padaria Delicias Do P";"padaria"
"Bate Bola Es-ct Onamen";"comercio"
"Abastec*abastece Ai";"gasolina"
"Fernando    -ct";"pessoa"
"Localiza+         01/02";"localiza"
"Outlet Vila Maria 06/06";"roupa"
"Max Fama Modeling 06/12";"moda"
"Vent Vert Cn      05/06";"Vent Vert"
"Rei Do Oleo       03/03";"troca_oleo"
"Y Model           03/03";"Roberto"
"Zp          *sympl03/03";"ingresso"
"Ame*americanascom 02/02";"americanas"
"Ame*americanascom 02/02";"americanas"
"R9 Parque Nov";"escola_futebol"
"R9 Parque Nov     02/03";"escola_futebol"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Lojao Da Vil-ct";"loja_material"
"Mauro Chapol-ct";"pessoa"
"Lojao Da Vil-ct   01/02";"loja_material"
"Rick Calcados";"comercio"
"Abastec*abastece Ai";"gasolina"
"Ame*americanascom 02/04";"americanas"
